I210911 19:12:54.677410 1 util/log/file_sync_buffer.go:238 ⋮ [config]   file created at: 2021/09/11 19:12:54
I210911 19:12:54.677423 1 util/log/file_sync_buffer.go:238 ⋮ [config]   running on machine: ‹localhost›
I210911 19:12:54.677430 1 util/log/file_sync_buffer.go:238 ⋮ [config]   binary: CockroachDB CCL v21.1.7 (x86_64-unknown-linux-gnu, built 2021/08/09 17:55:28, go1.15.14)
I210911 19:12:54.677437 1 util/log/file_sync_buffer.go:238 ⋮ [config]   arguments: ‹[cockroach start --certs-dir=certs --store=node2 --listen-addr=localhost:26258 --http-addr=localhost:8081 --join=localhost:26257,localhost:26258,localhost:26259]›
I210911 19:12:54.677450 1 util/log/file_sync_buffer.go:238 ⋮ [config]   log format (utf8=✓): crdb-v2
I210911 19:12:54.677456 1 util/log/file_sync_buffer.go:238 ⋮ [config]   line format: [IWEF]yymmdd hh:mm:ss.uuuuuu goid [chan@]file:line redactionmark \[tags\] [counter] msg
I210911 19:12:54.677361 1 server/status/recorder.go:629 ⋮ [-] 1  ‹available memory from cgroups is unsupported, using system memory 987 MiB instead: can't read available memory from cgroup v2 at /sys/fs/cgroup/unified/user.slice/user-0.slice/session-117.scope/memory.max: open /sys/fs/cgroup/unified/user.slice/user-0.slice/session-117.scope/memory.max: no such file or directory›
W210911 19:12:54.677531 1 1@cli/start.go:976 ⋮ [-] 2  ‹Using the default setting for --cache (128 MiB).›
W210911 19:12:54.677531 1 1@cli/start.go:976 ⋮ [-] 2 +‹  A significantly larger value is usually needed for good performance.›
W210911 19:12:54.677531 1 1@cli/start.go:976 ⋮ [-] 2 +‹  If you have a dedicated server a reasonable setting is --cache=.25 (247 MiB).›
I210911 19:12:54.677729 1 server/status/recorder.go:629 ⋮ [-] 3  ‹available memory from cgroups is unsupported, using system memory 987 MiB instead: can't read available memory from cgroup v2 at /sys/fs/cgroup/unified/user.slice/user-0.slice/session-117.scope/memory.max: open /sys/fs/cgroup/unified/user.slice/user-0.slice/session-117.scope/memory.max: no such file or directory›
I210911 19:12:54.677748 1 1@cli/start.go:1049 ⋮ [-] 4  ‹CockroachDB CCL v21.1.7 (x86_64-unknown-linux-gnu, built 2021/08/09 17:55:28, go1.15.14)›
I210911 19:12:54.678196 1 server/status/recorder.go:629 ⋮ [-] 5  ‹available memory from cgroups is unsupported, using system memory 987 MiB instead: can't read available memory from cgroup v2 at /sys/fs/cgroup/unified/user.slice/user-0.slice/session-117.scope/memory.max: open /sys/fs/cgroup/unified/user.slice/user-0.slice/session-117.scope/memory.max: no such file or directory›
I210911 19:12:54.678212 1 server/config.go:431 ⋮ [-] 6  system total memory: ‹987 MiB›
I210911 19:12:54.678221 1 server/config.go:433 ⋮ [-] 7  server configuration:
I210911 19:12:54.678221 1 server/config.go:433 ⋮ [-] 7 +‹max offset             500000000›
I210911 19:12:54.678221 1 server/config.go:433 ⋮ [-] 7 +‹cache size             128 MiB›
I210911 19:12:54.678221 1 server/config.go:433 ⋮ [-] 7 +‹SQL memory pool size   247 MiB›
I210911 19:12:54.678221 1 server/config.go:433 ⋮ [-] 7 +‹scan interval          10m0s›
I210911 19:12:54.678221 1 server/config.go:433 ⋮ [-] 7 +‹scan min idle time     10ms›
I210911 19:12:54.678221 1 server/config.go:433 ⋮ [-] 7 +‹scan max idle time     1s›
I210911 19:12:54.678221 1 server/config.go:433 ⋮ [-] 7 +‹event log enabled      true›
I210911 19:12:54.678282 1 1@cli/start.go:954 ⋮ [-] 8  using local environment variables: ‹COCKROACH_BACKGROUND_RESTART=1›
I210911 19:12:54.678295 1 1@cli/start.go:961 ⋮ [-] 9  process identity: ‹uid 0 euid 0 gid 0 egid 0›
W210911 19:12:54.678539 1 1@cli/start.go:1127 ⋮ [-] 10  could not initialize GEOS - spatial functions may not be available: geos: error during GEOS init: geos: cannot load GEOS from dir ‹"/usr/local/lib/cockroach"›: ‹geos error: /usr/local/lib/cockroach/libgeos.so: cannot open shared object file: No such file or directory›
I210911 19:12:54.678584 1 1@cli/start.go:528 ⋮ [-] 11  starting cockroach node
I210911 19:12:54.683270 25 server/config.go:568 ⋮ [n?] 12  1 storage engine‹› initialized
I210911 19:12:54.683304 25 server/config.go:571 ⋮ [n?] 13  ‹Pebble cache size: 128 MiB›
I210911 19:12:54.683318 25 server/config.go:571 ⋮ [n?] 14  ‹store 0: RocksDB, max size 0 B, max open file limit 10000›
I210911 19:12:54.684284 25 1@rpc/tls.go:271 ⋮ [n?] 15  server certificate addresses: ‹IP=; DNS=localhost,localhost; CN=node›
I210911 19:12:54.684313 25 1@rpc/tls.go:320 ⋮ [n?] 16  web UI certificate addresses: ‹IP=; DNS=localhost,localhost; CN=node›
I210911 19:12:54.701742 25 1@server/server.go:928 ⋮ [n?] 17  monitoring forward clock jumps based on server.clock.forward_jump_check_enabled
I210911 19:12:54.704007 25 1@cli/start.go:485 ⋮ [-] 18  initial startup completed.
I210911 19:12:54.704007 25 1@cli/start.go:485 ⋮ [-] 18 +Node will now attempt to join a running cluster, or wait for `cockroach init`.
I210911 19:12:54.704007 25 1@cli/start.go:485 ⋮ [-] 18 +Client connections will be accepted after this completes successfully.
I210911 19:12:54.704007 25 1@cli/start.go:485 ⋮ [-] 18 +Check the log file(s) for progress. 
I210911 19:12:54.707252 25 server/init.go:196 ⋮ [n?] 19  no stores initialized
I210911 19:12:54.707362 25 server/init.go:197 ⋮ [n?] 20  awaiting `cockroach init` or join with an already initialized node
I210911 19:12:54.720250 80 server/init.go:372 ⋮ [n?] 21  ‹localhost:26257› is itself waiting for init, will retry
W210911 19:12:54.720799 100 vendor/google.golang.org/grpc/internal/channelz/logging.go:73 ⋮ [-] 22  ‹grpc: addrConn.createTransport failed to connect to {localhost:26259  <nil> 0 <nil>}. Err: connection error: desc = "transport: Error while dialing dial tcp [::1]:26259: connect: connection refused". Reconnecting...›
W210911 19:12:54.720843 80 server/init.go:374 ⋮ [n?] 23  outgoing join rpc to ‹localhost:26259› unsuccessful: ‹rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing dial tcp [::1]:26259: connect: connection refused"›
I210911 19:12:55.726983 80 server/init.go:418 ⋮ [n?] 24  ‹localhost:26257› is itself waiting for init, will retry
W210911 19:12:56.725540 80 server/init.go:420 ⋮ [n?] 25  outgoing join rpc to ‹localhost:26259› unsuccessful: ‹rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing dial tcp [::1]:26259: connect: connection refused"›
I210911 19:12:57.727619 80 server/init.go:418 ⋮ [n?] 26  ‹localhost:26257› is itself waiting for init, will retry
W210911 19:12:58.721587 80 server/init.go:420 ⋮ [n?] 27  outgoing join rpc to ‹localhost:26259› unsuccessful: ‹rpc error: code = Unavailable desc = connection error: desc = "transport: Error while dialing dial tcp [::1]:26259: connect: connection refused"›
I210911 19:12:59.728724 80 server/init.go:418 ⋮ [n?] 28  ‹localhost:26257› is itself waiting for init, will retry
I210911 19:13:00.727922 80 server/init.go:418 ⋮ [n?] 29  ‹localhost:26259› is itself waiting for init, will retry
I210911 19:13:01.730012 80 server/init.go:418 ⋮ [n?] 30  ‹localhost:26257› is itself waiting for init, will retry
I210911 19:13:02.727861 80 server/init.go:418 ⋮ [n?] 31  ‹localhost:26259› is itself waiting for init, will retry
I210911 19:13:03.727839 80 server/init.go:418 ⋮ [n?] 32  ‹localhost:26257› is itself waiting for init, will retry
I210911 19:13:04.727988 80 server/init.go:418 ⋮ [n?] 33  ‹localhost:26259› is itself waiting for init, will retry
I210911 19:13:05.727493 80 server/init.go:418 ⋮ [n?] 34  ‹localhost:26257› is itself waiting for init, will retry
I210911 19:13:06.727859 80 server/init.go:418 ⋮ [n?] 35  ‹localhost:26259› is itself waiting for init, will retry
I210911 19:13:07.727475 80 server/init.go:418 ⋮ [n?] 36  ‹localhost:26257› is itself waiting for init, will retry
I210911 19:13:08.728074 80 server/init.go:418 ⋮ [n?] 37  ‹localhost:26259› is itself waiting for init, will retry
I210911 19:13:09.728202 80 server/init.go:418 ⋮ [n?] 38  ‹localhost:26257› is itself waiting for init, will retry
I210911 19:13:10.727965 80 server/init.go:418 ⋮ [n?] 39  ‹localhost:26259› is itself waiting for init, will retry
I210911 19:13:11.730292 80 server/init.go:418 ⋮ [n?] 40  ‹localhost:26257› is itself waiting for init, will retry
I210911 19:13:12.727029 80 server/init.go:418 ⋮ [n?] 41  ‹localhost:26259› is itself waiting for init, will retry
I210911 19:13:13.754257 25 server/init.go:284 ⋮ [n?] 42  joined cluster ‹e458d607-85c3-4cde-bec2-e8c896e36ce5› through join rpc
I210911 19:13:13.754296 25 server/init.go:285 ⋮ [n?] 43  received node ID: 2
I210911 19:13:13.754308 25 server/init.go:286 ⋮ [n?] 44  received cluster version: 21.1
W210911 19:13:13.754743 25 2@gossip/gossip.go:1491 ⋮ [n?] 45  no incoming or outgoing connections
I210911 19:13:13.754777 25 gossip/gossip.go:402 ⋮ [n2] 46  NodeDescriptor set to ‹node_id:2 address:<network_field:"tcp" address_field:"localhost:26258" > attrs:<> locality:<> ServerVersion:<major_val:21 minor_val:1 patch:0 internal:0 > build_tag:"v21.1.7" started_at:1631387593754771325 cluster_name:"" sql_address:<network_field:"tcp" address_field:"localhost:26258" >›
I210911 19:13:13.755303 25 server/node.go:388 ⋮ [n2] 47  initialized store s2
I210911 19:13:13.755330 25 kv/kvserver/stores.go:250 ⋮ [n2] 48  read 0 node addresses from persistent storage
I210911 19:13:13.755508 394 1@server/server.go:1567 ⋮ [n2] 49  connecting to gossip network to verify cluster ID ‹"e458d607-85c3-4cde-bec2-e8c896e36ce5"›
I210911 19:13:13.755908 398 kv/kvserver/closedts/provider/provider.go:135 ⋮ [ct-closer] 50  disabling legacy closed-timestamp mechanism; the new one is enabled
I210911 19:13:13.756492 25 server/node.go:465 ⋮ [n2] 51  started with engine type ‹2›
I210911 19:13:13.756514 25 server/node.go:467 ⋮ [n2] 52  started with attributes ‹[]›
I210911 19:13:13.756598 25 server/goroutinedumper/goroutinedumper.go:120 ⋮ [n2] 53  writing goroutine dumps to ‹/var/www/html/node2/logs/goroutine_dump›
I210911 19:13:13.756627 25 server/heapprofiler/heapprofiler.go:49 ⋮ [n2] 54  writing go heap profiles to ‹/var/www/html/node2/logs/heap_profiler› at least every 1h0m0s
I210911 19:13:13.756643 25 server/heapprofiler/cgoprofiler.go:53 ⋮ [n2] 55  to enable jmalloc profiling: "export MALLOC_CONF=prof:true" or "ln -s prof:true /etc/malloc.conf"
I210911 19:13:13.756655 25 server/heapprofiler/statsprofiler.go:54 ⋮ [n2] 56  writing memory stats to ‹/var/www/html/node2/logs/heap_profiler› at last every 1h0m0s
I210911 19:13:13.756670 25 1@server/server.go:1697 ⋮ [n2] 57  starting https server at ‹127.0.0.1:8081› (use: ‹localhost:8081›)
I210911 19:13:13.756695 25 1@server/server.go:1704 ⋮ [n2] 58  starting grpc/postgres server at ‹127.0.0.1:26258›
I210911 19:13:13.756712 25 1@server/server.go:1705 ⋮ [n2] 59  advertising CockroachDB node at ‹localhost:26258›
I210911 19:13:13.810031 425 gossip/client.go:124 ⋮ [n2] 60  started gossip client to n0 (‹localhost:26257›)
I210911 19:13:13.828692 394 1@server/server.go:1570 ⋮ [n2] 61  node connected via gossip
I210911 19:13:13.829303 38 kv/kvserver/stores.go:269 ⋮ [n2] 62  wrote 1 node addresses to persistent storage
I210911 19:13:13.914659 25 1@util/log/event_log.go:32 ⋮ [n2] 63 ={"Timestamp":1631387593914657831,"EventType":"node_join","NodeID":2,"StartedAt":1631387593754771325,"LastUp":1631387593754771325}
I210911 19:13:13.914835 25 sql/sqlliveness/slinstance/slinstance.go:252 ⋮ [n2] 64  starting SQL liveness instance
I210911 19:13:13.916327 504 sql/temporary_schema.go:485 ⋮ [n2] 65  skipping temporary object cleanup run as it is not the leaseholder
I210911 19:13:13.916381 504 sql/temporary_schema.go:486 ⋮ [n2] 66  completed temporary object cleanup job
I210911 19:13:13.916403 504 sql/temporary_schema.go:610 ⋮ [n2] 67  temporary object cleaner next scheduled to run at 2021-09-11 19:43:13.916318685 +0000 UTC
W210911 19:13:13.917312 516 jobs/registry.go:869 ⋮ [-] 68  own liveness record not found
I210911 19:13:13.927199 25 server/server_sql.go:854 ⋮ [n2] 69  done ensuring all necessary startup migrations have run
I210911 19:13:13.927787 25 1@server/server.go:2224 ⋮ [n2] 70  serving sql connections
I210911 19:13:13.928198 25 1@cli/start.go:694 ⋮ [config] 71  clusterID: ‹e458d607-85c3-4cde-bec2-e8c896e36ce5›
I210911 19:13:13.928216 25 1@cli/start.go:694 ⋮ [config] 72  nodeID: n2
I210911 19:13:13.928241 25 1@cli/start.go:704 ⋮ [-] 73  node startup completed:
I210911 19:13:13.928241 25 1@cli/start.go:704 ⋮ [-] 73 +CockroachDB node starting at 2021-09-11 19:13:13.927822017 +0000 UTC (took 19.3s)
I210911 19:13:13.928241 25 1@cli/start.go:704 ⋮ [-] 73 +build:               CCL v21.1.7 @ 2021/08/09 17:55:28 (go1.15.14)
I210911 19:13:13.928241 25 1@cli/start.go:704 ⋮ [-] 73 +webui:               ‹https://localhost:8081›
I210911 19:13:13.928241 25 1@cli/start.go:704 ⋮ [-] 73 +sql:                 ‹postgresql://root@localhost:26258?sslcert=certs%2Fclient.root.crt&sslkey=certs%2Fclient.root.key&sslmode=verify-full&sslrootcert=certs%2Fca.crt›
I210911 19:13:13.928241 25 1@cli/start.go:704 ⋮ [-] 73 +RPC client flags:    ‹cockroach <client cmd> --host=localhost:26258 --certs-dir=certs›
I210911 19:13:13.928241 25 1@cli/start.go:704 ⋮ [-] 73 +logs:                ‹/var/www/html/node2/logs›
I210911 19:13:13.928241 25 1@cli/start.go:704 ⋮ [-] 73 +temp dir:            ‹/var/www/html/node2/cockroach-temp190117624›
I210911 19:13:13.928241 25 1@cli/start.go:704 ⋮ [-] 73 +external I/O path:   ‹/var/www/html/node2/extern›
I210911 19:13:13.928241 25 1@cli/start.go:704 ⋮ [-] 73 +store[0]:            ‹path=/var/www/html/node2›
I210911 19:13:13.928241 25 1@cli/start.go:704 ⋮ [-] 73 +storage engine:      pebble
I210911 19:13:13.928241 25 1@cli/start.go:704 ⋮ [-] 73 +status:              initialized new node, joined pre-existing cluster
I210911 19:13:13.928241 25 1@cli/start.go:704 ⋮ [-] 73 +clusterID:           ‹e458d607-85c3-4cde-bec2-e8c896e36ce5›
I210911 19:13:13.928241 25 1@cli/start.go:704 ⋮ [-] 73 +nodeID:              2
I210911 19:13:13.930770 532 jobs/job_scheduler.go:360 ⋮ [n2] 74  waiting 3m0s before scheduled jobs daemon start
I210911 19:13:13.942622 515 sql/sqlliveness/slstorage/slstorage.go:351 ⋮ [n2] 75  inserted sqlliveness session ‹c8c4b6fedc674c7ca9a7a8dce4dba884›
I210911 19:13:13.942707 515 sql/sqlliveness/slinstance/slinstance.go:144 ⋮ [n2] 76  created new SQL liveness session ‹c8c4b6fedc674c7ca9a7a8dce4dba884›
I210911 19:13:13.980233 534 server/auto_upgrade.go:55 ⋮ [n2] 77  no need to upgrade, cluster already at the newest version
I210911 19:13:14.348518 589 kv/kvserver/liveness/liveness.go:567 ⋮ [n2] 78  created liveness record for n3
I210911 19:13:14.348583 589 server/node.go:1265 ⋮ [n2] 79  allocated IDs: n3, s3
I210911 19:13:14.378236 38 kv/kvserver/stores.go:269 ⋮ [n2] 80  wrote 2 node addresses to persistent storage
I210911 19:13:14.536276 642 kv/kvserver/replica_raftstorage.go:845 ⋮ [n2,s2,r29/3:{-}] 81  applying snapshot of type INITIAL [id=‹fef68b6d› index=20]
I210911 19:13:14.542077 642 kv/kvserver/replica_raftstorage.go:866 ⋮ [n2,s2,r29/3:‹/Table/3{3-4}›] 82  applied snapshot of type INITIAL [‹total=6ms›‹›‹ingestion=6@5ms›id=‹fef68b6d› index=20]
I210911 19:13:14.597762 689 kv/kvserver/replica_raftstorage.go:845 ⋮ [n2,s2,r8/3:{-}] 83  applying snapshot of type INITIAL [id=‹3021d319› index=42]
I210911 19:13:14.606315 689 kv/kvserver/replica_raftstorage.go:866 ⋮ [n2,s2,r8/3:‹/Table/1{2-3}›] 84  applied snapshot of type INITIAL [‹total=9ms›‹›‹ingestion=6@6ms›id=‹3021d319› index=42]
I210911 19:13:14.631190 721 kv/kvserver/replica_raftstorage.go:845 ⋮ [n2,s2,r26/2:{-}] 85  applying snapshot of type INITIAL [id=‹f33dd3c6› index=23]
I210911 19:13:14.634677 721 kv/kvserver/replica_raftstorage.go:866 ⋮ [n2,s2,r26/2:‹/NamespaceTable/{30-Max}›] 86  applied snapshot of type INITIAL [‹total=3ms›‹›‹ingestion=6@3ms›id=‹f33dd3c6› index=23]
I210911 19:13:14.707567 765 kv/kvserver/replica_raftstorage.go:845 ⋮ [n2,s2,r7/2:{-}] 87  applying snapshot of type INITIAL [id=‹e07e1080› index=26]
I210911 19:13:14.711111 765 kv/kvserver/replica_raftstorage.go:866 ⋮ [n2,s2,r7/2:‹/Table/1{1-2}›] 88  applied snapshot of type INITIAL [‹total=3ms›‹›‹ingestion=6@3ms›id=‹e07e1080› index=26]
I210911 19:13:14.757425 799 kv/kvserver/replica_raftstorage.go:845 ⋮ [n2,s2,r19/2:{-}] 89  applying snapshot of type INITIAL [id=‹70bd1589› index=17]
I210911 19:13:14.760968 799 kv/kvserver/replica_raftstorage.go:866 ⋮ [n2,s2,r19/2:‹/Table/2{3-4}›] 90  applied snapshot of type INITIAL [‹total=4ms›‹›‹ingestion=6@3ms›id=‹70bd1589› index=17]
I210911 19:13:14.799935 833 kv/kvserver/replica_raftstorage.go:845 ⋮ [n2,s2,r17/2:{-}] 91  applying snapshot of type INITIAL [id=‹24196271› index=22]
I210911 19:13:14.804542 833 kv/kvserver/replica_raftstorage.go:866 ⋮ [n2,s2,r17/2:‹/Table/2{1-2}›] 92  applied snapshot of type INITIAL [‹total=5ms›‹›‹ingestion=6@4ms›id=‹24196271› index=22]
I210911 19:13:14.843057 861 kv/kvserver/replica_raftstorage.go:845 ⋮ [n2,s2,r31/2:{-}] 93  applying snapshot of type INITIAL [id=‹02c88a77› index=16]
I210911 19:13:14.847087 861 kv/kvserver/replica_raftstorage.go:866 ⋮ [n2,s2,r31/2:‹/Table/3{5-6}›] 94  applied snapshot of type INITIAL [‹total=4ms›‹›‹ingestion=6@3ms›id=‹02c88a77› index=16]
I210911 19:13:14.884996 887 kv/kvserver/replica_raftstorage.go:845 ⋮ [n2,s2,r35/2:{-}] 95  applying snapshot of type INITIAL [id=‹9eab2abf› index=21]
I210911 19:13:14.889118 887 kv/kvserver/replica_raftstorage.go:866 ⋮ [n2,s2,r35/2:‹/Table/{39-40}›] 96  applied snapshot of type INITIAL [‹total=4ms›‹›‹ingestion=6@4ms›id=‹9eab2abf› index=21]
